frame,r_status,r_x,r_y,t_status,t_id,t_x,t_y,theta_deg,n_clusters,n_lit
344,detected,852.0,717.1,detected,26,776.6,566.0,116.5,6,2
345,detected,854.3,715.0,detected,26,777.0,563.8,117.1,5,1
346,detected,858.1,710.8,detected,26,776.9,561.0,118.4,6,1
347,detected,861.8,707.0,detected,26,772.5,558.7,121.0,6,1
348,detected,864.7,703.9,detected,26,773.3,558.2,122.1,6,1
349,detected,868.1,699.3,detected,26,772.0,556.4,123.9,6,1
350,detected,871.3,695.0,detected,26,771.2,555.1,125.6,7,1
351,detected,873.8,691.8,detected,26,770.3,554.6,127.0,5,1
352,detected,877.3,685.5,detected,26,767.3,549.9,129.1,6,1
353,detected,880.7,679.2,detected,26,765.8,547.3,131.1,6,1
354,detected,883.5,674.2,detected,26,764.5,545.3,132.7,6,1
355,detected,886.2,668.4,detected,26,762.1,542.6,134.6,5,1
356,detected,888.3,663.4,detected,26,759.8,540.3,136.2,5,1
357,detected,889.7,659.3,detected,26,758.2,539.1,137.6,5,1
358,detected,890.9,656.0,detected,26,756.6,538.7,138.9,5,1
359,detected,893.4,648.7,detected,26,753.6,536.1,141.2,8,1
360,detected,895.9,641.8,lost,26,750.5,532.0,,7,1
361,detected,897.7,636.4,lost,26,747.5,528.0,,9,1
362,estimated,899.1,634.1,lost,26,744.4,523.9,,9,0
363,estimated,900.5,632.0,lost,26,741.3,519.9,,8,0
364,estimated,901.9,630.2,lost,26,738.2,515.8,,7,0
365,estimated,903.3,628.7,lost,26,735.2,511.8,,7,0
366,estimated,904.8,627.4,lost,26,732.1,507.7,,9,0
367,estimated,906.3,626.1,lost,26,729.0,503.6,,9,0
368,estimated,907.6,624.9,lost,26,725.9,499.6,,10,0
369,estimated,908.7,623.6,lost,26,722.9,495.5,,7,0
370,estimated,909.7,622.3,lost,26,721.3,493.5,,9,1
371,estimated,910.7,621.3,lost,26,719.8,491.5,,7,3
372,estimated,911.6,620.7,lost,26,718.3,489.5,,5,2
373,estimated,912.4,620.3,lost,26,716.7,487.4,,6,3
374,estimated,913.2,620.3,detected,28,533.0,760.7,200.3,5,2
375,estimated,914.1,620.6,detected,28,534.9,767.1,201.1,7,3
376,estimated,915.0,621.3,detected,28,536.8,773.7,201.9,7,3
377,estimated,916.0,622.2,detected,28,538.5,780.2,202.7,7,3
378,estimated,916.9,623.5,detected,28,540.3,786.5,203.4,6,3
379,estimated,917.8,625.1,detected,28,542.2,791.9,203.9,5,3
380,estimated,918.9,626.9,lost,28,547.0,800.8,,5,2
381,estimated,920.2,628.8,lost,28,561.8,807.9,,6,2
382,estimated,921.6,630.9,lost,28,568.6,822.0,,6,2
383,estimated,923.3,632.9,lost,28,577.6,831.1,,5,2
384,estimated,925.2,635.1,lost,28,585.3,838.3,,5,2
385,estimated,927.3,637.2,lost,28,598.4,832.8,,7,2
386,estimated,929.5,639.4,lost,28,601.5,841.1,,7,2
387,estimated,931.8,641.4,lost,28,610.4,848.9,,5,2
388,detected,777.0,706.2,lost,28,617.5,855.0,,7,2
389,estimated,779.5,708.2,detected,32,671.6,769.2,209.5,6,1
390,estimated,782.1,710.0,detected,32,674.2,773.1,210.3,8,1
391,estimated,784.8,711.7,detected,32,676.3,768.7,207.7,7,1
392,estimated,787.5,713.4,detected,32,678.3,765.7,205.6,5,1
393,detected,719.8,747.0,lost,32,684.2,765.4,,8,1
394,detected,695.7,766.5,lost,32,690.1,765.1,,7,2
395,estimated,698.6,768.3,detected,32,686.4,762.7,155.6,6,1
396,estimated,701.4,770.1,detected,32,690.1,768.3,170.9,6,1
397,estimated,704.4,771.8,detected,32,693.3,765.1,148.7,5,1
398,estimated,707.5,773.5,detected,32,696.2,762.8,136.5,4,1
399,estimated,710.7,775.0,detected,32,700.9,754.8,115.8,5,1
400,detected,703.1,776.6,lost,32,707.4,751.6,,7,1
401,detected,706.6,774.6,lost,32,713.9,748.4,,6,1
402,detected,715.3,772.4,lost,32,720.3,745.2,,7,2
403,detected,724.1,771.0,detected,32,713.4,747.1,114.2,6,1
404,detected,731.5,770.3,lost,32,719.7,743.4,,7,1
405,detected,737.4,770.0,lost,32,726.1,739.8,,8,2
406,detected,742.0,769.8,lost,32,732.4,736.2,,8,2
407,estimated,745.3,770.9,detected,32,733.7,747.1,116.0,8,2
408,detected,747.9,770.6,lost,32,742.3,745.6,,8,3
409,detected,751.1,770.9,lost,32,750.9,744.2,,7,3
410,detected,754.3,771.3,lost,32,759.6,742.7,,8,1
411,detected,757.9,771.8,detected,32,754.6,748.0,97.9,6,1
412,detected,762.3,772.1,lost,32,764.3,747.7,,7,2
413,detected,767.3,772.2,lost,32,774.1,747.4,,7,2
414,estimated,770.5,773.4,detected,32,761.6,747.1,108.7,6,1
415,detected,773.9,772.9,lost,32,769.1,746.6,,7,2
